site,category,NZTMX,NZTMY,CwmsName
68813,Not on Restriction,1480426.0,5160085.0,Ashburton
69,Not on Restriction,1481526.0,5157186.0,Ashburton
69001,Some Days on Restriction,1495759.0,5117799.0,Ashburton
69002,Some Days on Restriction,1501326.0,5121049.0,Ashburton
69003,Some Days on Restriction,1501130.0,5120597.0,Ashburton
69201,Not on Restriction,1489828.0,5116722.0,Ashburton
69202,Not on Restriction,1487641.0,5111784.0,Ashburton
69203,Not on Restriction,1489533.8,5114495.0,Ashburton
69302,Some Days on Restriction,1456746.0,5153179.0,Ashburton
69505,Some Days on Restriction,1455355.0,5133574.0,Orari-Temuka-Opihi-Pareora
69508,Some Days on Restriction,1471413.0,5100293.0,Orari-Temuka-Opihi-Pareora
69513,Not on Restriction,1469221.0,5103911.0,Orari-Temuka-Opihi-Pareora
69514,Some Days on Restriction,1471613.0,5100463.0,Orari-Temuka-Opihi-Pareora
69515,Some Days on Restriction,1462096.0,5124896.0,Orari-Temuka-Opihi-Pareora
69520,Not on Restriction,1472782.0,5101693.0,Orari-Temuka-Opihi-Pareora
69602,Some Days on Restriction,1461954.0,5099289.0,Orari-Temuka-Opihi-Pareora
69607,Some Days on Restriction,1462166.0,5097228.0,Orari-Temuka-Opihi-Pareora
69615,Not on Restriction,1430065.0,5133918.0,Orari-Temuka-Opihi-Pareora
69616,Not on Restriction,1427436.0,5126577.0,Orari-Temuka-Opihi-Pareora
69618,Some Days on Restriction,1435557.0,5107425.0,Orari-Temuka-Opihi-Pareora
69635,Some Days on Restriction,1438498.0,5092950.0,Orari-Temuka-Opihi-Pareora
696501,Some Days on Restriction,1451745.0,5098685.0,Orari-Temuka-Opihi-Pareora
69660,Not on Restriction,1430836.0,5125978.0,Orari-Temuka-Opihi-Pareora
70105,Some Days on Restriction,1445310.0,5080559.0,Orari-Temuka-Opihi-Pareora
70701,Some Days on Restriction,1438997.6,5054501.5,Lower Waitaki - South Coastal Canterbury
70702,Not on Restriction,1439868.0,5052682.0,Lower Waitaki - South Coastal Canterbury
70801,Not on Restriction,1454103.0,5043831.0,Lower Waitaki - South Coastal Canterbury
70902,Some Days on Restriction,1439733.0,5037156.0,Lower Waitaki - South Coastal Canterbury
70903,Some Days on Restriction,1434926.0,5040629.0,Lower Waitaki - South Coastal Canterbury
70908,Not on Restriction,1453118.0,5040340.0,Lower Waitaki - South Coastal Canterbury
7091302,Some Days on Restriction,1453596.0,5039132.0,Lower Waitaki - South Coastal Canterbury
71103,Some Days on Restriction,1401312.0,5044497.0,Lower Waitaki - South Coastal Canterbury
71104,Not on Restriction,1397980.0,5047135.0,Upper Waitaki
71105,Some Days on Restriction,1397191.0,5046827.0,Lower Waitaki - South Coastal Canterbury
71106,Some Days on Restriction,1409827.0,5020368.0,Lower Waitaki - South Coastal Canterbury
71109,Some Days on Restriction,1377699.0,5055354.0,Upper Waitaki
71116,Some Days on Restriction,1339755.0,5070408.0,Upper Waitaki
71118,Some Days on Restriction,1353246.3,5076906.3,Upper Waitaki
71129,Not on Restriction,1391431.0,5127568.0,Upper Waitaki
71130,Some Days on Restriction,1386027.0,5105142.0,Upper Waitaki
71136,Some Days on Restriction,1357903.0,5068969.0,Upper Waitaki
71178,Some Days on Restriction,1404385.0,5026356.0,Lower Waitaki - South Coastal Canterbury
71189,Not on Restriction,1352455.0,5064272.0,Upper Waitaki
