SwazName,use_type,date,sw_allo,gw_allo,total_allo,sw_metered_allo,gw_metered_allo,total_metered_allo,sw_restr_allo,gw_restr_allo,total_restr_allo,restr_ratio,sw_metered_restr_allo,gw_metered_restr_allo,total_metered_restr_allo,total_usage,sw_usage,gw_usage
South Branch,irrigation,2018-06-30,135730536.38188344,14492086.23472017,150222622.61660358,133563223.48649518,12386767.773526251,145949991.26002145,135388477.44741407,14415215.577125007,149803693.02453905,556.4022258064515,133224643.5546925,12347674.41818772,145572317.97288024,46873761.76877168,42246472.98124317,4627288.787528506
South Branch,stockwater,2013-06-30,22500271.169819493,279928.26627737225,22780199.436096866,22493880.304710004,234117.66423357665,22727997.96894358,22500271.169819493,279928.26627737225,22780199.436096866,57.0,22493880.304710004,234117.66423357665,22727997.96894358,20633336.47000885,20410540.47000885,222796.0
South Branch,stockwater,2014-06-30,21966794.518724497,279928.26627737225,22246722.78500187,21522206.631212335,270014.44408759126,21792221.075299922,21966794.518724497,279928.26627737225,22246722.78500187,56.0,21522206.631212335,270014.44408759126,21792221.075299922,20479877.190193176,20188058.190193176,291819.0
South Branch,stockwater,2015-06-30,21967366.814198952,304254.5401459854,22271621.354344934,2682745.146874677,253003.62773722626,2935748.774611903,21967366.814198952,304254.5401459854,22271621.354344934,56.0,2682745.146874677,253003.62773722626,2935748.774611903,3652076.7887499705,3424269.157649977,227807.63109999322
South Branch,stockwater,2016-06-30,22003706.415015038,8293.0,22011999.415015038,19445699.283209123,0.0,19445699.283209123,22003706.415015038,8293.0,22011999.415015038,42.0,19445699.283209123,0.0,19445699.283209123,19069645.0,19069645.0,0.0
South Branch,stockwater,2017-06-30,22064863.865755484,8275.0,22073138.865755484,21817760.69873496,0.0,21817760.69873496,22064863.865755484,8275.0,22073138.865755484,42.0,21817760.69873496,0.0,21817760.69873496,5631409.559417725,5631409.559417725,0.0
South Branch,stockwater,2018-06-30,22064863.865755484,8275.0,22073138.865755484,21105702.88032997,0.0,21105702.88032997,22064863.865755484,8275.0,22073138.865755484,42.0,21105702.88032997,0.0,21105702.88032997,12672800.688293457,12672800.688293457,0.0
Taylors Stream,irrigation,2013-06-30,3037865.587380952,1062625.365,4100490.9523809524,2453273.6523809526,547843.3,3001116.9523809524,2700487.34874808,1062625.365,3763112.7137480797,115.46551459293397,2159929.41374808,547843.3,2707772.7137480797,885592.187828064,328618.7396013641,556973.4482266998
Taylors Stream,irrigation,2014-06-30,3037865.587380952,1062625.365,4100490.9523809524,860623.4904761905,558240.7,1418864.1904761905,2931145.917718894,1062625.365,3993771.282718894,120.98118279569891,820939.2330261137,558240.7,1379179.9330261138,914946.3622585236,479375.2650816724,435571.09717685136
Taylors Stream,irrigation,2015-06-30,3013688.3573809527,1024004.595,4037692.9523809524,1196791.0066666668,333946.66,1530737.6666666667,2172276.7126036864,1024004.595,3196281.3076036866,97.28648233486945,756654.6827419355,333946.66,1090601.3427419355,964814.1613734775,788239.0324231768,176575.1289503008
Taylors Stream,irrigation,2016-06-30,2765621.041904762,452459.22,3218080.261904762,1591705.9057142856,346911.38,1938617.2857142857,1925395.4394487704,452459.22,2377854.6594487703,73.67682610307749,955542.7118321944,346911.38,1302454.0918321947,1333925.5,1163371.19,170554.31
Taylors Stream,irrigation,2017-06-30,2726482.918095238,445684.39142857137,3172167.3095238097,2026411.4666666666,406985.19999999995,2433396.666666667,2620353.9741628263,445684.39142857137,3066038.3655913975,89.58986175115209,1950855.6774961597,406985.19999999995,2357840.8774961596,1147822.0096464155,888635.8038642788,259186.2057821369
